Tahun,Cakupan,Tingkat_Inflasi
2008,Kota Bandung,10.23
2008,Prov. Jawa Barat,11.11
2008,Nasional,11.06
2009,Kota Bandung,2.11
2009,Prov. Jawa Barat,2.02
2009,Nasional,2.78
2010,Kota Bandung,4.53
2010,Prov. Jawa Barat,6.62
2010,Nasional,6.96
2011,Kota Bandung,2.75
2011,Prov. Jawa Barat,3.1
2011,Nasional,3.79
2012,Kota Bandung,4.02
2012,Prov. Jawa Barat,3.86
2012,Nasional,4.3
2013,Kota Bandung,7.97
2013,Prov. Jawa Barat,9.15
2013,Nasional,8.38
